./Instances/CVRP/X-n157-k13.vrp;1;17505;0.026
./Instances/CVRP/X-n157-k13.vrp;1;17146;0.058
./Instances/CVRP/X-n157-k13.vrp;1;17076;0.146
./Instances/CVRP/X-n157-k13.vrp;1;17032;0.437
./Instances/CVRP/X-n157-k13.vrp;1;17000;1.188
./Instances/CVRP/X-n157-k13.vrp;1;16998;1.233
./Instances/CVRP/X-n157-k13.vrp;1;16990;1.528
./Instances/CVRP/X-n157-k13.vrp;1;16964;1.545
./Instances/CVRP/X-n157-k13.vrp;1;16936;1.8
./Instances/CVRP/X-n157-k13.vrp;1;16896;2.023
./Instances/CVRP/X-n157-k13.vrp;1;16891;5.492
./Instances/CVRP/X-n157-k13.vrp;1;16890;17.136
./Instances/CVRP/X-n157-k13.vrp;1;16882;22.567
